index	filename	predicted_label	margin
7889	7889.bmp	3	0.000122
8316	8316.bmp	6	0.014688
3122	3122.bmp	4	0.016421
2249	2249.bmp	5	0.016725
2238	2238.bmp	9	0.020450
6551	6551.bmp	9	0.025562
8565	8565.bmp	8	0.026259
100	100.bmp	4	0.027687
1500	1500.bmp	4	0.027909
2476	2476.bmp	8	0.028424
4860	4860.bmp	8	0.029434
1409	1409.bmp	9	0.031488
3800	3800.bmp	8	0.038072
5835	5835.bmp	5	0.040397
687	687.bmp	4	0.040991
1723	1723.bmp	2	0.041269
5211	5211.bmp	5	0.044642
8158	8158.bmp	4	0.048883
4784	4784.bmp	9	0.049759
3423	3423.bmp	2	0.050331
