index	filename	predicted_label	margin
1764	1764.bmp	8	0.002135
111	111.bmp	4	0.002763
2630	2630.bmp	3	0.004355
4174	4174.bmp	3	0.006859
9976	9976.bmp	9	0.006973
6123	6123.bmp	9	0.007461
2581	2581.bmp	8	0.007585
8711	8711.bmp	4	0.010624
2744	2744.bmp	9	0.012414
695	695.bmp	3	0.012641
4631	4631.bmp	2	0.012732
679	679.bmp	4	0.013153
6501	6501.bmp	4	0.014547
9611	9611.bmp	9	0.014572
7583	7583.bmp	5	0.015378
8219	8219.bmp	6	0.016953
3585	3585.bmp	9	0.020046
6678	6678.bmp	9	0.020160
9932	9932.bmp	8	0.022927
3528	3528.bmp	1	0.023037
