index	filename	predicted_label	margin
3547	3547.bmp	6	0.000848
783	783.bmp	5	0.001485
3590	3590.bmp	3	0.003609
1195	1195.bmp	9	0.004328
3692	3692.bmp	9	0.005758
1786	1786.bmp	4	0.006394
2746	2746.bmp	8	0.007188
6915	6915.bmp	2	0.007507
5772	5772.bmp	6	0.008278
3206	3206.bmp	8	0.009310
2083	2083.bmp	4	0.010763
3039	3039.bmp	6	0.012733
965	965.bmp	3	0.013105
115	115.bmp	9	0.013504
9645	9645.bmp	7	0.013624
6207	6207.bmp	3	0.014385
3761	3761.bmp	3	0.016805
5556	5556.bmp	7	0.017129
3860	3860.bmp	8	0.017576
5172	5172.bmp	4	0.017893
