index	filename	predicted_label	margin
284	284.bmp	5	0.001232
740	740.bmp	4	0.001983
1968	1968.bmp	3	0.004307
7532	7532.bmp	8	0.006024
5953	5953.bmp	9	0.006419
171	171.bmp	3	0.007348
1335	1335.bmp	4	0.008893
2626	2626.bmp	2	0.010512
4383	4383.bmp	9	0.013267
1285	1285.bmp	6	0.015524
7973	7973.bmp	8	0.016188
5580	5580.bmp	2	0.018192
3541	3541.bmp	2	0.020586
9173	9173.bmp	8	0.021394
6735	6735.bmp	5	0.022139
6481	6481.bmp	5	0.023296
7235	7235.bmp	8	0.025058
1113	1113.bmp	2	0.030616
4246	4246.bmp	8	0.033012
7424	7424.bmp	8	0.034183
