index	filename	predicted_label	margin
8934	8934.bmp	8	0.003429
629	629.bmp	9	0.006263
8562	8562.bmp	2	0.010333
5866	5866.bmp	2	0.011824
620	620.bmp	1	0.014274
3040	3040.bmp	4	0.014738
2294	2294.bmp	9	0.015227
5492	5492.bmp	9	0.016883
9144	9144.bmp	8	0.021422
3150	3150.bmp	3	0.021435
6319	6319.bmp	4	0.021922
7181	7181.bmp	3	0.022671
2979	2979.bmp	3	0.022766
7758	7758.bmp	2	0.026581
8571	8571.bmp	2	0.027984
5535	5535.bmp	4	0.028656
5213	5213.bmp	3	0.028766
2225	2225.bmp	7	0.028810
852	852.bmp	2	0.028960
2141	2141.bmp	7	0.030164
