index	filename	predicted_label	margin
6737	6737.bmp	9	0.000931
3755	3755.bmp	9	0.001488
2972	2972.bmp	2	0.002806
1752	1752.bmp	3	0.003504
7955	7955.bmp	6	0.003840
2544	2544.bmp	2	0.008079
8924	8924.bmp	5	0.009425
691	691.bmp	8	0.009517
666	666.bmp	4	0.010356
9039	9039.bmp	9	0.011976
5541	5541.bmp	4	0.012012
4862	4862.bmp	6	0.013797
5589	5589.bmp	9	0.014733
6659	6659.bmp	4	0.016388
5401	5401.bmp	3	0.018356
8872	8872.bmp	3	0.019772
4930	4930.bmp	9	0.021730
2283	2283.bmp	4	0.022793
1975	1975.bmp	9	0.026556
6248	6248.bmp	2	0.027102
