index	filename	predicted_label	margin
8289	8289.bmp	9	0.003554
678	678.bmp	9	0.004464
1793	1793.bmp	3	0.009672
2130	2130.bmp	4	0.010060
6687	6687.bmp	4	0.013345
6372	6372.bmp	4	0.018823
2562	2562.bmp	6	0.022124
8999	8999.bmp	3	0.027906
6357	6357.bmp	2	0.028006
9985	9985.bmp	9	0.034372
2406	2406.bmp	4	0.035468
4570	4570.bmp	4	0.035909
2730	2730.bmp	4	0.039312
7712	7712.bmp	9	0.040502
62	62.bmp	8	0.046983
6535	6535.bmp	7	0.052382
2639	2639.bmp	9	0.056780
7450	7450.bmp	4	0.060435
4341	4341.bmp	9	0.061686
3103	3103.bmp	5	0.066925
